@relation target-classification

@attribute class {human, dog}
@attribute oldVel1 numeric 
@attribute oldVel2 numeric 
@attribute oldVel3 numeric 
@attribute newVel1 numeric 
@attribute newVel2 numeric 
@attribute newVel3 numeric 
@attribute dist numeric 
@attribute time numeric 
@attribute distTimeProd numeric 
@attribute distTimeRatio numeric 
@attribute fftfreq numeric 
@attribute fftmoment numeric 
@attribute percentFreq numeric 
@attribute secMoment numeric 
@attribute maxFreq numeric 
@attribute freqWidth numeric 
@attribute accRange numeric 
@attribute veloMinMax numeric 
@data 
dog,1.035,1.035,1.035,2.067,2.067,2.067,3.717,2.000,7.433,1.858,7318.625,0.234,0.085,2854.161,142.400,54.000,1.343,0.526
dog,1.053,1.053,1.053,1.922,1.922,1.922,4.013,2.000,8.026,2.006,11465.125,0.387,0.212,2408.753,145.100,43.000,0.108,0.533
dog,1.116,1.116,1.116,1.183,1.183,1.183,5.978,3.000,17.934,1.993,11793.063,0.369,0.199,5373.385,140.500,116.000,0.726,0.516
dog,1.082,1.082,1.082,1.090,1.090,1.090,5.533,3.000,16.600,1.844,10277.375,0.393,0.164,4469.238,-33.000,60.000,0.325,0.513
dog,0.988,0.988,0.988,0.937,0.937,0.937,5.446,3.000,16.338,1.815,9340.938,0.312,0.167,5702.817,-52.300,117.000,0.620,0.537
dog,1.124,1.124,1.124,1.328,1.328,1.328,6.201,3.000,18.603,2.067,10618.438,0.331,0.178,3951.469,145.100,106.000,0.295,0.674
dog,1.237,1.220,1.220,1.655,1.607,1.607,7.769,4.000,31.075,1.942,7165.458,0.219,0.108,4187.088,142.700,90.000,0.802,0.527
dog,0.722,0.722,0.722,0.814,0.814,0.814,4.112,2.000,8.224,2.056,15537.625,0.523,0.328,2516.496,-54.400,104.000,0.555,0.423
dog,1.380,1.380,1.380,1.754,1.754,1.754,5.813,3.000,17.438,1.938,9383.000,0.304,0.158,3723.729,140.100,78.000,0.776,0.651
dog,0.639,0.639,0.639,0.752,0.752,0.752,6.425,3.000,19.274,2.142,10448.750,0.304,0.162,3689.048,-98.400,101.000,1.590,0.420
dog,2.381,2.282,2.193,3.346,3.066,2.082,9.713,6.000,58.276,1.619,7700.103,0.360,0.191,3101.063,99.400,124.000,0.148,0.897
dog,1.105,1.105,1.105,0.986,0.986,0.986,6.202,3.000,18.607,2.067,10402.750,0.357,0.166,2238.916,-26.800,48.000,0.346,0.459
dog,0.887,0.800,0.800,0.846,0.118,0.118,6.037,4.000,24.146,1.509,7861.750,0.340,0.152,2648.339,-12.200,48.000,0.616,0.360
dog,3.143,3.049,2.558,4.064,4.014,2.497,9.109,5.000,45.546,1.822,7458.969,0.304,0.156,2908.172,127.700,108.000,1.032,0.822
dog,0.837,0.837,0.837,0.664,0.664,0.664,4.070,2.000,8.140,2.035,19281.875,0.854,0.599,2378.399,-27.900,157.000,1.696,0.728
dog,1.581,1.581,1.581,0.046,0.046,0.046,5.293,3.000,15.880,1.764,11507.625,0.604,0.388,1077.896,125.200,131.000,2.058,0.835
dog,1.253,1.253,1.253,0.583,0.583,0.583,4.523,3.000,13.569,1.508,7712.313,0.460,0.263,1877.712,120.200,115.000,0.385,0.679
dog,1.483,1.456,1.433,2.103,1.904,1.213,7.017,5.000,35.086,1.403,3457.344,0.231,0.122,1245.609,76.800,83.000,0.376,0.637
dog,1.144,1.144,1.144,0.664,0.664,0.664,4.264,3.000,12.791,1.421,4948.875,0.346,0.194,1033.645,107.000,85.000,0.129,0.655
dog,1.232,1.232,1.232,0.532,0.532,0.532,4.082,3.000,12.245,1.361,4929.000,0.359,0.202,946.902,72.100,92.000,0.823,0.648
dog,1.780,1.683,1.683,1.509,0.357,0.357,6.038,4.000,24.152,1.510,5932.708,0.347,0.190,1688.550,108.800,98.000,0.295,0.787
dog,1.542,1.474,1.474,0.972,0.440,0.440,7.267,4.000,29.069,1.817,11635.417,0.507,0.300,4168.660,145.500,142.000,0.190,0.752
dog,2.063,2.063,2.063,0.392,0.392,0.392,5.703,3.000,17.108,1.901,13273.188,0.653,0.418,1176.658,129.600,135.000,0.617,0.955
dog,1.240,1.240,1.240,0.002,0.002,0.002,4.069,2.000,8.138,2.035,21012.875,0.954,0.720,1294.965,-22.700,162.000,2.083,0.818
dog,1.968,1.968,1.968,0.509,0.509,0.509,5.263,3.000,15.788,1.754,13151.188,0.666,0.406,761.445,129.300,131.000,1.406,0.959
dog,0.866,0.866,0.866,0.798,0.798,0.798,4.115,3.000,12.345,1.372,2327.125,0.191,0.093,750.868,43.600,53.000,0.424,0.482
dog,0.866,0.808,0.808,1.068,0.339,0.339,4.958,4.000,19.831,1.239,1259.375,0.128,0.054,348.614,50.400,40.000,0.452,0.370
dog,0.895,0.895,0.895,0.372,0.372,0.372,4.008,3.000,12.023,1.336,4156.500,0.318,0.179,1070.874,80.600,81.000,0.702,0.525
dog,1.028,1.028,1.028,0.832,0.832,0.832,4.077,3.000,12.231,1.359,2057.437,0.171,0.073,666.271,46.200,45.000,0.691,0.525
dog,1.577,1.577,1.577,2.322,2.322,2.322,5.676,3.000,17.027,1.892,8275.563,0.260,0.116,3516.513,-77.300,58.000,0.537,0.716
dog,0.734,0.734,0.734,0.357,0.189,0.189,7.866,4.000,31.466,1.967,8650.750,0.261,0.138,5118.245,-78.400,110.000,0.399,0.404
dog,1.410,1.362,1.362,1.888,1.633,1.633,7.386,4.000,29.543,1.846,7073.042,0.224,0.098,4272.646,-76.500,98.000,0.321,0.491
dog,0.849,0.849,0.849,0.552,0.552,0.552,6.445,3.000,19.335,2.148,9042.938,0.271,0.152,4094.509,-89.500,88.000,0.578,0.470
dog,1.244,1.244,1.244,2.711,2.711,2.711,4.088,2.000,8.177,2.044,9871.250,0.309,0.187,2173.974,-82.800,63.000,1.046,0.632
dog,3.754,3.599,3.599,5.101,4.464,4.464,8.048,4.000,32.192,2.012,8887.792,0.321,0.180,2785.579,-45.600,86.000,0.739,0.995
dog,0.790,0.790,0.790,0.372,0.372,0.372,5.918,3.000,17.755,1.973,10907.438,0.405,0.203,4683.430,-7.400,79.000,0.117,0.516
dog,3.235,3.209,3.209,4.496,3.695,3.695,8.265,4.000,33.061,2.066,7952.542,0.266,0.144,3902.502,-43.000,102.000,0.322,1.114
dog,1.346,1.346,1.346,1.803,1.803,1.803,5.818,3.000,17.453,1.939,8619.000,0.262,0.143,4657.587,-73.600,100.000,0.449,0.601
dog,1.168,1.168,1.168,1.522,1.522,1.522,5.058,3.000,15.174,1.686,3061.000,0.112,0.024,964.146,137.800,18.000,0.167,0.462
dog,1.615,1.615,1.615,2.372,2.372,2.372,5.723,3.000,17.168,1.908,6112.563,0.192,0.087,2119.239,-51.100,58.000,0.614,0.713
dog,2.081,2.081,2.081,2.982,2.982,2.982,4.876,3.000,14.629,1.625,2226.125,0.104,0.042,425.478,-55.400,32.000,0.261,0.759
