@relation target-classification

@attribute class {human, car}
@attribute oldVel1 numeric 
@attribute oldVel2 numeric 
@attribute oldVel3 numeric 
@attribute newVel1 numeric 
@attribute newVel2 numeric 
@attribute newVel3 numeric 
@attribute dist numeric 
@attribute time numeric 
@attribute distTimeProd numeric 
@attribute distTimeRatio numeric 
@attribute fftfreq numeric 
@attribute fftmoment numeric 
@attribute percentFreq numeric 
@attribute secMoment numeric 
@attribute maxFreq numeric 
@attribute freqWidth numeric 
@attribute accRange numeric 
@attribute veloMinMax numeric 
@data 
human,2.325,1.743,1.353,2.405,1.778,1.503,9.623,10.676,102.737,0.901,2449.737,0.203,0.126,1011.284,98.100,84.000,0.476,0.420
human,2.434,2.243,2.102,2.431,2.285,2.209,5.320,5.952,31.666,0.894,4068.103,0.270,0.165,1008.465,-5.300,83.000,0.189,0.459
human,2.374,2.288,2.222,2.566,2.462,2.417,5.558,5.637,31.331,0.986,3956.778,0.263,0.162,1277.766,99.400,86.000,0.548,0.477
human,2.691,2.549,2.507,2.755,2.667,2.505,6.236,7.994,49.854,0.780,4724.564,0.304,0.213,1358.820,-6.100,98.000,0.237,0.478
human,2.312,2.167,1.967,2.404,2.235,1.968,7.506,7.748,58.158,0.969,2751.660,0.200,0.122,1014.663,82.600,83.000,0.189,0.452
human,2.385,2.152,1.505,2.470,2.194,1.622,9.222,8.270,76.267,1.115,3526.193,0.239,0.148,1461.341,117.500,101.000,0.308,0.435
human,2.352,1.938,1.593,2.483,2.090,1.758,9.636,8.553,82.413,1.127,4048.746,0.249,0.142,1555.818,111.200,101.000,1.276,0.478
human,1.827,1.405,1.119,1.907,1.502,1.269,12.001,12.952,155.433,0.927,1919.245,0.165,0.090,675.033,72.300,78.000,0.195,0.365
human,3.012,2.539,1.913,3.167,2.588,1.722,12.238,10.228,125.175,1.197,4659.630,0.240,0.140,3846.007,137.000,333.000,1.300,0.539
human,2.838,2.751,2.548,2.848,2.821,2.679,7.395,6.973,51.568,1.061,4320.043,0.248,0.157,1796.966,-3.000,95.000,0.045,0.520
human,2.031,1.890,1.822,2.048,2.018,1.870,5.704,6.159,35.131,0.926,2596.450,0.198,0.110,715.204,75.000,80.000,1.172,0.385
human,1.974,1.630,1.081,2.004,1.675,1.089,9.160,11.366,104.112,0.806,2245.329,0.189,0.110,776.154,74.400,79.000,0.032,0.351
human,2.041,1.373,1.189,2.069,1.374,1.226,8.469,10.381,87.917,0.816,1893.608,0.173,0.103,703.442,51.400,73.000,0.218,0.377
human,2.253,2.132,2.126,2.339,2.194,2.173,5.978,6.973,41.684,0.857,3938.085,0.263,0.156,1316.870,-6.300,85.000,0.657,0.435
human,1.851,1.829,1.683,1.892,1.870,1.759,5.330,5.655,30.137,0.943,2648.500,0.205,0.119,746.560,73.900,58.000,0.577,0.346
human,1.741,1.439,1.268,1.881,1.464,1.355,8.446,10.210,86.238,0.827,2745.890,0.215,0.119,690.035,57.400,87.000,0.529,0.368
car,1.223,0.979,0.979,1.249,1.089,1.089,6.028,3.817,23.008,1.579,473.364,0.021,0.003,88.218,-1000.000,10.000,1.077,0.402
car,1.728,1.667,1.667,2.233,1.817,1.817,5.428,4.087,22.185,1.328,1285.458,0.094,0.045,395.338,-3.200,43.000,0.264,0.557
car,2.840,2.760,2.574,3.330,3.207,2.706,6.573,4.928,32.390,1.334,1594.935,0.101,0.051,536.638,77.800,45.000,1.477,0.757
car,1.936,1.793,1.793,2.302,1.890,1.890,5.209,3.844,20.024,1.355,682.091,0.041,0.018,139.372,-1000.000,18.000,0.605,0.530
car,2.755,2.481,2.366,2.998,2.819,2.430,9.114,5.952,54.246,1.531,1204.744,0.063,0.026,352.614,-31.500,31.000,0.869,0.593
car,1.764,1.699,1.699,2.146,1.895,1.895,5.413,3.856,20.871,1.404,699.227,0.042,0.016,219.446,-1000.000,21.000,0.611,0.603
car,2.746,2.475,2.336,2.911,2.618,2.601,6.183,4.991,30.858,1.239,676.452,0.043,0.014,102.266,-1000.000,15.000,0.829,0.548
human,2.522,2.394,2.179,2.581,2.400,2.186,8.023,8.057,64.643,0.996,5759.764,0.332,0.211,1986.357,122.400,112.000,0.539,0.459
human,2.522,2.394,2.179,2.581,2.400,2.186,8.023,8.057,64.643,0.996,5759.764,0.332,0.211,1986.357,122.400,112.000,0.539,0.459
human,3.153,2.854,2.119,3.126,2.948,2.204,13.983,11.958,167.205,1.169,3973.593,0.225,0.142,2430.885,33.000,123.000,0.917,0.574
human,2.015,1.759,1.539,2.105,1.912,1.592,18.250,14.255,260.154,1.280,1071.200,0.081,0.032,372.061,65.500,65.000,0.930,0.384
human,2.271,2.029,1.750,2.400,2.105,1.886,18.240,14.240,259.749,1.281,754.788,0.061,0.022,347.378,60.400,41.000,0.743,0.447
human,1.773,1.534,1.390,1.871,1.655,1.425,16.414,12.685,208.212,1.294,941.772,0.069,0.021,295.317,67.900,24.000,1.532,0.383
human,1.911,1.607,1.222,1.980,1.674,1.195,16.204,12.838,208.026,1.262,918.903,0.073,0.022,249.054,48.900,28.000,0.519,0.386
human,1.143,1.143,1.143,1.265,1.265,1.265,2.626,3.012,7.910,0.872,666.000,0.081,0.042,245.307,-4.100,36.000,0.349,0.279
human,2.800,2.793,2.598,2.839,2.769,2.656,9.107,8.643,78.706,1.054,4855.717,0.282,0.193,2000.012,-4.600,109.000,0.315,0.535
human,1.914,1.738,1.523,2.088,1.783,1.428,15.593,11.279,175.879,1.382,672.716,0.052,0.016,249.022,53.200,24.000,0.759,0.419
human,2.498,2.140,1.821,2.640,2.343,1.947,15.388,11.652,179.298,1.321,1044.286,0.078,0.031,415.813,71.400,30.000,0.346,0.486
human,2.264,1.797,1.597,2.528,1.914,1.593,15.601,11.033,172.124,1.414,977.291,0.064,0.019,370.828,65.500,26.000,0.604,0.499
human,2.580,2.573,2.373,2.681,2.634,2.523,6.383,5.838,37.265,1.093,2490.079,0.171,0.095,760.471,-4.200,63.000,0.015,0.488
human,3.139,2.511,2.301,3.342,2.516,2.374,14.555,11.880,172.909,1.225,2893.442,0.182,0.090,1041.971,118.000,70.000,1.159,0.570
human,3.139,2.511,2.301,3.342,2.516,2.374,14.555,11.880,172.909,1.225,2893.442,0.182,0.090,1041.971,118.000,70.000,1.159,0.570
human,2.918,2.599,1.944,2.952,2.818,2.219,9.556,9.562,91.367,0.999,6935.955,0.333,0.215,5884.362,41.400,333.000,0.589,0.543
human,3.054,2.895,2.666,3.084,3.004,2.711,7.630,6.973,53.206,1.094,6313.191,0.336,0.217,2461.778,129.500,123.000,0.907,0.576
human,2.687,2.402,1.839,2.705,2.622,1.919,14.130,14.742,208.304,0.959,5199.463,0.290,0.188,4792.847,57.100,333.000,0.744,0.519
human,2.237,1.904,1.463,2.216,1.986,1.466,15.202,12.886,195.886,1.180,2167.787,0.150,0.079,1201.163,111.900,89.000,0.486,0.385
human,2.276,2.080,1.595,2.317,2.117,1.727,19.015,16.970,322.681,1.120,1684.833,0.130,0.061,526.547,76.600,54.000,0.353,0.413
human,2.159,1.750,1.531,2.204,1.919,1.498,15.825,13.330,210.954,1.187,1309.505,0.106,0.046,499.341,91.100,52.000,0.227,0.399
human,2.433,2.041,1.712,2.539,2.143,1.878,18.808,14.634,275.237,1.285,1566.093,0.110,0.050,653.974,57.500,66.000,1.253,0.459
car,3.278,3.240,2.623,3.395,3.334,3.021,9.079,5.844,53.057,1.554,1328.026,0.068,0.027,400.808,69.100,32.000,1.031,0.752
car,3.324,3.322,2.683,3.300,3.289,2.979,6.677,4.991,33.326,1.338,1485.065,0.091,0.040,197.018,58.000,28.000,0.154,0.643
car,3.566,3.260,2.929,3.755,3.680,3.137,8.453,5.712,48.279,1.480,1234.757,0.072,0.028,368.514,70.600,24.000,0.337,0.722
car,3.427,3.354,2.901,3.654,3.611,3.121,8.137,5.673,46.160,1.434,955.757,0.064,0.030,294.785,-2.700,34.000,0.323,0.730
human,3.245,3.227,3.146,3.392,3.326,3.171,6.438,6.700,43.134,0.961,14488.911,0.549,0.367,4572.094,-17.000,160.000,0.166,0.627
human,2.107,2.091,1.994,2.204,2.163,1.991,5.788,6.285,36.378,0.921,7570.537,0.356,0.227,2271.683,126.800,121.000,0.779,0.410
human,2.109,1.994,1.958,2.253,2.244,1.953,4.472,5.318,23.782,0.841,1635.088,0.110,0.054,374.554,61.400,38.000,0.330,0.416
human,1.429,1.274,1.274,1.363,1.315,1.315,3.226,4.069,13.125,0.793,1180.833,0.087,0.038,230.759,-11.500,18.000,0.740,0.336
human,1.976,1.940,1.723,2.081,2.061,1.748,5.529,6.592,36.442,0.839,1323.864,0.082,0.036,619.193,83.900,30.000,0.037,0.415
human,1.390,1.390,1.390,1.517,1.517,1.517,2.566,3.520,9.030,0.729,1707.737,0.119,0.062,361.130,-19.600,38.000,0.585,0.329
human,1.234,1.234,1.234,1.454,1.454,1.454,2.588,3.553,9.196,0.729,1291.850,0.080,0.036,260.502,61.200,29.000,0.107,0.387
human,2.640,2.598,2.504,2.683,2.652,2.556,7.926,7.883,62.480,1.005,7258.093,0.338,0.234,2919.887,-14.200,129.000,0.174,0.529
human,1.151,1.151,1.151,1.242,1.242,1.242,2.800,3.517,9.848,0.796,1880.474,0.123,0.054,464.257,-13.900,49.000,0.311,0.259
human,1.307,1.170,1.170,1.378,1.328,1.328,3.447,3.781,13.031,0.912,862.545,0.070,0.031,305.278,-14.200,36.000,0.387,0.303
human,1.300,1.293,1.293,1.406,1.368,1.368,2.364,3.931,9.292,0.601,3231.609,0.266,0.168,627.865,85.300,69.000,0.163,0.282
human,1.994,1.872,1.682,2.062,2.033,1.730,4.586,4.898,22.464,0.936,3202.567,0.217,0.131,1040.971,-6.200,68.000,0.120,0.413
human,2.288,2.153,2.124,2.469,2.323,2.006,6.289,5.952,37.431,1.057,3138.872,0.198,0.101,864.656,-5.600,61.000,0.069,0.467
human,3.120,2.626,1.800,3.260,2.726,2.013,12.159,10.643,129.404,1.142,10782.618,0.461,0.293,6005.121,155.600,164.000,0.075,0.607
human,2.194,1.815,1.570,2.318,2.006,1.642,10.057,7.994,80.396,1.258,2043.564,0.131,0.056,667.993,28.300,49.000,1.114,0.435
human,3.055,3.054,2.609,3.198,3.185,2.621,9.433,7.748,73.083,1.217,9228.264,0.423,0.291,4557.465,153.900,162.000,0.772,0.573
human,2.235,2.215,2.059,2.437,2.299,2.059,4.966,6.607,32.811,0.752,10033.182,0.477,0.365,7600.743,-5.700,333.000,0.401,0.474
human,1.774,1.694,1.627,1.780,1.718,1.681,6.989,7.502,52.430,0.932,2966.216,0.210,0.113,785.464,-5.400,62.000,0.452,0.371
human,2.975,2.823,2.734,2.966,2.852,2.741,9.021,8.955,80.780,1.007,16562.000,0.667,0.451,5459.458,110.700,201.000,0.320,0.521
human,2.984,2.637,2.211,3.080,2.720,2.200,8.998,9.751,87.742,0.923,10953.754,0.497,0.333,4349.713,18.200,150.000,0.168,0.582
human,1.848,1.766,1.754,1.992,1.907,1.808,5.419,5.754,31.182,0.942,1947.838,0.155,0.085,542.943,62.400,53.000,1.455,0.384
human,1.833,1.765,1.704,1.854,1.829,1.717,5.928,5.928,35.142,1.000,2019.769,0.154,0.077,380.659,-6.100,59.000,0.312,0.379
human,1.765,1.520,1.265,1.858,1.411,1.312,9.620,11.108,106.865,0.866,2441.412,0.182,0.099,1002.693,97.800,71.000,0.199,0.368
car,3.897,3.862,3.294,4.122,3.973,3.670,7.003,5.952,41.680,1.177,2003.923,0.110,0.050,505.345,-16.600,48.000,0.742,0.730
car,2.549,2.540,2.540,3.492,2.710,2.710,3.798,3.841,14.587,0.989,5431.909,0.290,0.135,1440.441,112.300,72.000,0.020,1.003
car,3.630,3.301,2.827,4.230,3.533,2.130,10.237,6.904,70.675,1.483,4106.978,0.202,0.088,1148.681,95.200,69.000,0.587,1.032
car,1.734,1.132,1.132,1.682,1.353,1.353,3.391,4.060,13.768,0.835,2049.750,0.130,0.046,306.006,-26.300,26.000,0.573,0.501
car,3.139,2.523,2.437,3.516,2.553,2.415,9.447,8.081,76.340,1.169,1414.643,0.096,0.043,361.993,62.800,40.000,0.830,0.663
car,3.897,3.862,3.294,4.122,3.973,3.670,7.003,5.952,41.680,1.177,2003.923,0.110,0.050,505.345,-16.600,48.000,0.742,0.730
human,2.048,1.890,1.851,2.107,2.010,1.811,6.350,6.489,41.211,0.979,3222.233,0.229,0.142,1310.096,99.300,78.000,0.570,0.403
human,2.676,2.177,1.539,2.731,2.277,1.672,14.072,12.523,176.220,1.124,3302.253,0.205,0.125,2083.790,45.000,104.000,0.045,0.506
human,2.223,1.511,1.339,2.412,1.679,1.396,13.894,15.823,219.843,0.878,3492.846,0.226,0.143,4109.731,105.000,333.000,0.063,0.427
human,2.069,1.863,1.635,2.134,2.012,1.645,12.157,13.736,166.989,0.885,3222.170,0.229,0.131,1236.030,60.000,96.000,1.105,0.412
human,2.310,1.850,1.637,2.412,1.821,1.708,12.537,13.550,169.868,0.925,3230.848,0.228,0.135,1301.940,106.400,100.000,0.190,0.422
human,2.295,1.603,1.575,2.330,1.764,1.588,12.319,13.883,171.021,0.887,3456.206,0.238,0.138,1465.891,54.200,100.000,1.103,0.398
human,1.669,1.628,1.628,1.799,1.785,1.785,4.404,4.727,20.815,0.932,2338.483,0.166,0.079,430.816,48.500,59.000,0.409,0.358
human,2.205,1.779,1.481,2.137,1.936,1.606,12.744,12.979,165.407,0.982,2657.287,0.191,0.117,1494.934,52.700,100.000,0.361,0.411
human,2.377,1.937,1.443,2.450,1.870,1.543,12.896,12.973,167.301,0.994,2389.606,0.178,0.103,1375.423,103.000,108.000,0.775,0.434
human,2.584,1.930,1.674,2.700,2.027,1.778,11.368,10.997,125.013,1.034,3706.481,0.241,0.146,1853.130,61.600,111.000,0.270,0.483
human,2.855,2.110,1.813,2.956,2.161,2.020,11.276,10.997,124.002,1.025,3769.215,0.244,0.149,1815.173,64.700,118.000,0.526,0.506
