@relation target-classification

@attribute class {human, car}
@attribute oldVel1 numeric 
@attribute oldVel2 numeric 
@attribute oldVel3 numeric 
@attribute newVel1 numeric 
@attribute newVel2 numeric 
@attribute newVel3 numeric 
@attribute dist numeric 
@attribute time numeric 
@attribute distTimeProd numeric 
@attribute distTimeRatio numeric 
@attribute fftfreq numeric 
@attribute fftmoment numeric 
@attribute percentFreq numeric 
@attribute secMoment numeric 
@attribute maxFreq numeric 
@attribute freqWidth numeric 
@attribute accRange numeric 
@attribute veloMinMax numeric 
@data 
human,0.429,0.265,0.162,0.389,0.239,0.160,0.436,0.549,0.301,0.307,0.123,0.281,0.274,0.123,0.950,0.229,0.304,0.211
human,0.469,0.439,0.485,0.398,0.415,0.434,0.178,0.211,0.075,0.299,0.223,0.385,0.361,0.122,0.861,0.226,0.115,0.260
human,0.447,0.454,0.537,0.443,0.476,0.515,0.192,0.188,0.074,0.394,0.217,0.375,0.356,0.158,0.951,0.235,0.351,0.284
human,0.562,0.544,0.660,0.506,0.547,0.549,0.233,0.357,0.133,0.183,0.264,0.438,0.468,0.169,0.860,0.272,0.146,0.285
human,0.424,0.412,0.427,0.389,0.397,0.340,0.309,0.339,0.160,0.376,0.142,0.277,0.266,0.123,0.937,0.226,0.115,0.252
human,0.451,0.407,0.227,0.411,0.383,0.206,0.412,0.377,0.217,0.526,0.190,0.337,0.323,0.183,0.967,0.282,0.193,0.230
human,0.439,0.333,0.265,0.415,0.347,0.259,0.437,0.397,0.237,0.538,0.222,0.352,0.309,0.195,0.962,0.282,0.831,0.285
human,0.249,0.148,0.061,0.222,0.143,0.070,0.579,0.712,0.469,0.333,0.090,0.223,0.195,0.078,0.928,0.211,0.119,0.140
human,0.679,0.541,0.404,0.644,0.520,0.245,0.593,0.517,0.373,0.609,0.260,0.338,0.306,0.500,0.984,1.000,0.847,0.364
human,0.615,0.615,0.678,0.537,0.600,0.616,0.302,0.284,0.139,0.470,0.239,0.352,0.344,0.227,0.863,0.263,0.020,0.339
human,0.323,0.316,0.364,0.270,0.322,0.303,0.201,0.225,0.086,0.332,0.132,0.273,0.239,0.083,0.930,0.217,0.763,0.166
human,0.302,0.226,0.044,0.255,0.203,0.000,0.408,0.599,0.306,0.209,0.110,0.260,0.238,0.092,0.930,0.214,0.011,0.122
human,0.326,0.137,0.091,0.277,0.099,0.053,0.367,0.528,0.254,0.220,0.088,0.235,0.224,0.082,0.910,0.195,0.134,0.155
human,0.403,0.400,0.496,0.367,0.383,0.420,0.217,0.284,0.107,0.262,0.215,0.374,0.340,0.164,0.860,0.232,0.423,0.230
human,0.257,0.295,0.304,0.217,0.271,0.260,0.178,0.189,0.071,0.349,0.135,0.285,0.260,0.088,0.929,0.149,0.371,0.114
human,0.217,0.160,0.125,0.214,0.130,0.103,0.365,0.516,0.249,0.231,0.141,0.301,0.259,0.080,0.915,0.238,0.338,0.144
car,0.029,0.000,0.000,0.002,0.000,0.000,0.220,0.058,0.048,1.000,0.000,0.000,0.001,0.000,0.000,0.000,0.700,0.187
car,0.212,0.239,0.297,0.332,0.252,0.282,0.184,0.077,0.045,0.743,0.050,0.112,0.093,0.041,0.863,0.102,0.164,0.387
car,0.616,0.618,0.689,0.699,0.734,0.626,0.253,0.137,0.078,0.749,0.070,0.123,0.107,0.060,0.933,0.108,0.964,0.645
car,0.288,0.282,0.352,0.355,0.278,0.310,0.171,0.060,0.038,0.771,0.013,0.031,0.034,0.007,0.000,0.025,0.389,0.353
car,0.585,0.521,0.599,0.588,0.600,0.520,0.405,0.211,0.147,0.951,0.045,0.064,0.051,0.035,0.838,0.065,0.563,0.434
car,0.225,0.250,0.311,0.303,0.280,0.312,0.183,0.060,0.041,0.821,0.014,0.032,0.028,0.017,0.000,0.034,0.393,0.447
car,0.582,0.519,0.586,0.559,0.530,0.586,0.229,0.142,0.073,0.652,0.013,0.033,0.024,0.002,0.000,0.015,0.537,0.376
human,0.501,0.491,0.518,0.448,0.455,0.425,0.340,0.361,0.180,0.404,0.329,0.482,0.465,0.253,0.971,0.316,0.345,0.260
human,0.501,0.491,0.518,0.448,0.455,0.425,0.340,0.361,0.180,0.404,0.329,0.482,0.465,0.253,0.971,0.316,0.345,0.260
human,0.730,0.651,0.493,0.631,0.645,0.432,0.698,0.641,0.506,0.581,0.218,0.316,0.311,0.312,0.894,0.350,0.594,0.409
human,0.317,0.270,0.242,0.289,0.286,0.195,0.954,0.806,0.801,0.694,0.037,0.093,0.064,0.038,0.922,0.170,0.603,0.163
human,0.410,0.364,0.333,0.387,0.352,0.309,0.953,0.804,0.800,0.695,0.017,0.062,0.042,0.034,0.918,0.096,0.480,0.245
human,0.229,0.193,0.178,0.210,0.196,0.130,0.844,0.693,0.636,0.709,0.029,0.075,0.040,0.028,0.924,0.043,1.000,0.163
human,0.279,0.218,0.105,0.247,0.203,0.041,0.831,0.704,0.636,0.676,0.028,0.080,0.043,0.021,0.908,0.056,0.332,0.166
human,0.000,0.057,0.071,0.008,0.061,0.068,0.016,0.000,0.000,0.277,0.012,0.093,0.088,0.021,0.862,0.080,0.220,0.028
human,0.602,0.629,0.699,0.534,0.582,0.607,0.405,0.403,0.225,0.463,0.272,0.404,0.424,0.254,0.861,0.307,0.198,0.359
human,0.280,0.263,0.235,0.283,0.241,0.131,0.794,0.592,0.534,0.799,0.012,0.048,0.029,0.021,0.911,0.043,0.490,0.208
human,0.492,0.403,0.364,0.468,0.435,0.332,0.782,0.619,0.544,0.736,0.035,0.088,0.063,0.044,0.927,0.062,0.218,0.295
human,0.407,0.284,0.267,0.430,0.286,0.195,0.795,0.575,0.522,0.831,0.031,0.066,0.037,0.038,0.922,0.050,0.388,0.312
human,0.522,0.553,0.602,0.482,0.536,0.556,0.241,0.202,0.093,0.504,0.125,0.233,0.206,0.089,0.862,0.164,0.000,0.299
human,0.725,0.531,0.571,0.703,0.495,0.498,0.732,0.635,0.524,0.638,0.150,0.249,0.195,0.127,0.967,0.186,0.754,0.404
human,0.725,0.531,0.571,0.703,0.495,0.498,0.732,0.635,0.524,0.638,0.150,0.249,0.195,0.127,0.967,0.186,0.754,0.404
human,0.645,0.562,0.417,0.572,0.599,0.438,0.432,0.469,0.265,0.407,0.402,0.483,0.473,0.772,0.901,1.000,0.378,0.369
human,0.694,0.664,0.729,0.616,0.664,0.628,0.316,0.284,0.144,0.504,0.363,0.488,0.479,0.316,0.977,0.350,0.588,0.411
human,0.561,0.494,0.372,0.490,0.532,0.322,0.707,0.840,0.637,0.366,0.294,0.417,0.413,0.626,0.915,1.000,0.480,0.338
human,0.397,0.321,0.209,0.326,0.311,0.146,0.771,0.707,0.597,0.592,0.105,0.199,0.171,0.148,0.962,0.245,0.311,0.165
human,0.412,0.382,0.266,0.360,0.356,0.247,1.000,1.000,1.000,0.531,0.075,0.169,0.129,0.058,0.932,0.136,0.223,0.202
human,0.369,0.267,0.239,0.322,0.288,0.159,0.808,0.739,0.645,0.599,0.052,0.131,0.095,0.055,0.944,0.130,0.140,0.183
human,0.469,0.368,0.316,0.434,0.365,0.306,0.988,0.833,0.849,0.700,0.068,0.137,0.105,0.075,0.915,0.173,0.816,0.261
car,0.775,0.784,0.710,0.721,0.778,0.749,0.403,0.203,0.143,0.974,0.053,0.073,0.053,0.042,0.925,0.068,0.669,0.638
car,0.792,0.813,0.736,0.689,0.763,0.732,0.259,0.142,0.081,0.753,0.063,0.108,0.083,0.014,0.916,0.056,0.092,0.498
car,0.880,0.791,0.842,0.841,0.898,0.793,0.366,0.193,0.128,0.899,0.047,0.079,0.055,0.037,0.926,0.043,0.212,0.600
car,0.829,0.824,0.830,0.807,0.874,0.787,0.347,0.191,0.122,0.852,0.030,0.066,0.061,0.027,0.863,0.074,0.203,0.610
human,0.763,0.780,0.936,0.720,0.776,0.807,0.245,0.264,0.112,0.368,0.871,0.817,0.812,0.597,0.851,0.464,0.100,0.477
human,0.350,0.386,0.439,0.322,0.373,0.349,0.206,0.235,0.090,0.327,0.441,0.519,0.499,0.291,0.975,0.344,0.503,0.198
human,0.351,0.352,0.423,0.338,0.400,0.335,0.127,0.165,0.050,0.245,0.072,0.137,0.113,0.038,0.918,0.087,0.208,0.206
human,0.104,0.102,0.127,0.040,0.078,0.088,0.052,0.076,0.017,0.196,0.044,0.103,0.079,0.019,0.855,0.025,0.478,0.101
human,0.302,0.333,0.321,0.281,0.337,0.255,0.190,0.256,0.091,0.243,0.053,0.095,0.074,0.071,0.938,0.062,0.014,0.204
human,0.090,0.142,0.177,0.092,0.148,0.166,0.012,0.036,0.004,0.131,0.077,0.152,0.132,0.036,0.848,0.087,0.376,0.093
human,0.033,0.089,0.110,0.071,0.127,0.142,0.013,0.039,0.004,0.130,0.051,0.091,0.074,0.023,0.918,0.059,0.061,0.167
human,0.544,0.562,0.659,0.482,0.542,0.568,0.334,0.349,0.173,0.414,0.422,0.491,0.517,0.377,0.853,0.368,0.105,0.351
human,0.003,0.060,0.074,0.000,0.053,0.059,0.026,0.036,0.006,0.200,0.087,0.159,0.114,0.050,0.853,0.121,0.195,0.003
human,0.059,0.066,0.082,0.045,0.083,0.093,0.065,0.055,0.016,0.318,0.024,0.076,0.062,0.029,0.853,0.080,0.245,0.060
human,0.057,0.109,0.136,0.055,0.097,0.108,0.000,0.066,0.004,0.000,0.171,0.379,0.367,0.072,0.939,0.183,0.097,0.033
human,0.309,0.310,0.304,0.275,0.327,0.249,0.133,0.135,0.046,0.343,0.170,0.303,0.286,0.127,0.860,0.180,0.069,0.201
