@relation target-classification

@attribute class {noise, human, dog}
@attribute oldVel1 numeric 
@attribute oldVel2 numeric 
@attribute oldVel3 numeric 
@attribute newVel1 numeric 
@attribute newVel2 numeric 
@attribute newVel3 numeric 
@attribute dist numeric 
@attribute time numeric 
@attribute distTimeProd numeric 
@attribute distTimeRatio numeric 
@attribute fftfreq numeric 
@attribute fftmoment numeric 
@attribute percentFreq numeric 
@attribute secMoment numeric 
@attribute maxFreq numeric 
@attribute freqWidth numeric 
@data 
human,2.402,2.020,1.613,2.369,2.009,1.565,13.060,17.000,222.025,0.768,11838.795,0.455,0.243,5812.905,144.400,112.000
human,3.239,2.954,2.136,3.270,2.930,2.122,10.454,12.000,125.449,0.871,20398.230,0.724,0.459,7415.372,129.800,233.000
human,2.455,2.037,1.738,2.768,2.313,1.909,11.881,16.000,190.093,0.743,3809.686,0.290,0.181,1150.379,97.400,109.000
human,2.031,1.793,1.667,2.269,2.091,1.959,9.935,13.000,129.154,0.764,3374.095,0.267,0.166,883.539,84.100,95.000
human,3.012,2.826,2.437,3.106,2.806,2.497,11.519,12.000,138.232,0.960,19761.644,0.694,0.478,8486.629,162.200,233.000
human,2.093,1.887,1.870,2.378,2.006,1.900,6.196,6.000,37.178,1.033,7212.550,0.311,0.157,3434.168,84.400,94.000
human,2.603,2.272,1.893,2.711,2.416,1.827,8.160,9.000,73.443,0.907,5327.968,0.262,0.142,1500.478,158.100,97.000
human,1.964,1.749,1.482,2.097,1.914,1.859,5.517,8.000,44.139,0.690,14210.196,0.489,0.275,5104.138,128.000,74.000
human,2.550,2.030,1.419,2.684,2.130,1.260,7.761,9.000,69.845,0.862,3227.905,0.217,0.124,622.231,71.100,83.000
human,0.689,0.657,0.631,0.784,0.654,0.647,3.201,8.000,25.611,0.400,6706.946,0.238,0.101,2138.612,166.100,54.000
human,1.804,1.109,0.938,1.883,1.222,0.882,5.322,11.000,58.545,0.484,16084.430,0.574,0.314,6841.198,165.000,119.000
human,1.841,1.798,1.324,1.946,1.829,1.372,5.998,9.000,53.982,0.666,13637.000,0.485,0.256,4602.533,154.000,93.000
human,1.310,1.080,1.030,1.332,1.071,0.923,5.278,8.000,42.226,0.660,6393.375,0.279,0.120,1757.772,154.500,67.000
human,1.057,0.893,0.518,1.234,0.867,0.480,3.100,6.000,18.602,0.517,2695.500,0.169,0.077,615.509,48.300,49.000
human,2.899,1.653,1.554,3.273,1.836,1.623,7.519,10.000,75.186,0.752,20760.549,0.705,0.453,8587.724,167.600,238.000
human,1.900,1.775,1.567,2.097,2.022,1.623,6.241,9.000,56.170,0.693,18855.571,0.640,0.389,7741.810,145.000,123.000
human,1.714,1.242,1.120,1.808,1.344,1.336,5.228,8.000,41.827,0.654,12141.393,0.443,0.228,4380.298,167.400,111.000
human,0.652,0.589,0.560,0.728,0.631,0.610,3.166,7.000,22.161,0.452,5532.313,0.236,0.094,1450.236,154.000,56.000
human,1.154,0.794,0.635,1.231,0.785,0.622,5.499,11.000,60.487,0.500,14612.063,0.544,0.319,6752.635,155.000,166.000
human,1.330,1.071,0.873,1.377,1.058,0.944,5.013,10.000,50.133,0.501,14264.732,0.531,0.278,5188.354,122.600,108.000
human,1.003,0.749,0.557,1.088,0.828,0.506,3.301,8.000,26.408,0.413,9495.946,0.389,0.195,4212.396,161.800,91.000
human,0.986,0.964,0.957,1.080,1.011,0.997,2.387,6.000,14.321,0.398,6812.500,0.296,0.135,1954.096,-4.700,64.000
human,1.369,0.518,0.474,1.198,0.634,0.490,4.918,10.000,49.182,0.492,17530.028,0.635,0.396,6577.387,157.400,103.000
human,1.866,1.586,1.408,1.931,1.690,1.403,6.041,10.000,60.406,0.604,19457.423,0.680,0.451,6473.845,160.300,111.000
human,0.813,0.591,0.535,0.782,0.603,0.556,2.913,7.000,20.393,0.416,17242.917,0.633,0.323,2084.445,-12.800,88.000
human,1.184,1.124,0.986,1.263,1.163,0.965,2.991,7.000,20.940,0.427,8187.375,0.344,0.129,1460.199,-5.800,48.000
human,1.376,0.726,0.305,1.382,0.744,0.300,4.223,10.000,42.227,0.422,9085.338,0.360,0.142,2184.973,44.000,97.000
